nonce,value
1593365379,505.94
1593366336,207.91
1593367809,6000.0
1593368086,6000.0
1593369662,207.91
1593380542,24.0
1593383708,44.64
1593388422,44.64
1593390396,950.66
1593391370,20000.0
1593391582,950.66
1593391688,20000.0
1593393206,5000.0
1593393580,5000.0
1593395165,728.48
1593395961,3778.78
1593396865,39995.66
1593397277,14995.66
1593397507,14995.66
1593397539,936.71
1593402258,50.0
1593405773,8.89
1593415633,0.0
1593429615,628.67
1593432222,29986.87
1593432410,10000.0
1593432664,10000.0
1593433089,29986.87
1593433390,29986.87
1593435833,10000.0
1593436168,10000.0
1593437357,10.0
1593437787,33.28
1593438580,995.68
1593438740,995.68
1593439165,46.49
1593439178,5402.68
1593439323,3995.68
1593439762,117.98
1593439922,104.63
1593439967,2630.77
1593440052,101.57
1593440162,2630.77
1593440211,117.98
1593440556,218.64
1593441071,51.72
1593441109,201.31
1593441382,201.31
1593441798,349.8
1593442390,2003.98
1593442582,50.0
1593442920,47.5
1593442963,2505.65
1593443110,47.5
1593443357,1775.55
1593444983,1775.55
1593446537,500.0
1593446982,101.14
1593447101,756.06
1593448434,1242.71
1593449160,51.72
1593453534,1100.0
1593453758,1100.0
1593456116,1000.0
1593456400,1000.0
1593456631,1000.0
1593456753,1000.0
1593457310,1000.0
1593457337,1000.0
1593457647,1000.0
1593457648,1000.0
1593459228,100.29
1593459968,531.36
1593461394,1000.0
1593461423,631.65
1593461692,1000.0
1593467405,1000.0
1593467796,1000.0
1593469844,512.68
1593472975,24.0
1593473625,35.7
1593475449,218.6
1593479361,13116.49
1593479482,13116.49
1593480577,35.7
1593481933,103.65
1593482042,103.65
1593487218,218.6
1593487848,709.17
1593488092,1343.85
1593488102,756.06
1593488297,1598.3
1593506241,1500.0
1593507384,300.0
1593507598,1500.0
1593509422,300.0
1593511535,55.0
1593511654,55.0
1593511850,2080.0
1593512006,2080.0
1593515056,1595.46
1593515268,480.8
1593515276,1000.0
1593522475,190.0
1593522887,21.39
1593523036,1792.53
1593523347,60.53
1593523577,60.53
1593526683,1000.0
1593527166,1000.0
1593527645,1000.0
1593528824,500.0
1593528964,500.0
1593529291,500.0
1593529389,500.0
1593529504,210.66
1593529656,500.0
1593529705,210.66
1593529814,500.0
1593531527,500.0
1593532129,500.0
1593532336,500.0
1593532483,500.0
1593532657,500.0
1593532758,500.0
1593532931,500.0
1593533082,500.0
1593533113,500.0
1593533297,500.0
1593533465,500.0
1593534224,500.0
1593534705,500.0
1593534723,21.39
1593534944,500.0
1593535235,500.0
1593535429,500.0
1593535964,500.0
1593536072,500.0
1593536192,500.0
1593536719,500.0
1593536746,500.0
1593536963,500.0
1593537082,500.0
1593537305,500.0
1593537402,500.0
1593537549,500.0
1593537758,500.0
1593537825,10624.22
1593537862,500.0
1593538366,500.0
1593538559,500.0
1593540167,500.0
1593540179,500.0
1593540438,500.0
1593540501,500.0
